code,tradeStatus,name
600375,1,汉马科技
600376,1,首开股份
600377,1,宁沪高速
600378,1,昊华科技
600379,1,宝光股份
600380,1,健康元
600381,1,*ST春天
600382,1,广东明珠
600383,1,金地集团
600386,1,北巴传媒
600387,1,退市海越
600388,1,龙净环保
600389,1,江山股份
600390,1,五矿资本
600391,1,航发科技
600392,1,盛和资源
600395,1,盘江股份
600396,1,华电辽能
600397,1,江钨装备
600398,1,海澜之家
600399,1,抚顺特钢
600400,1,红豆股份
600403,1,大有能源
600405,1,动力源
600406,1,国电南瑞
600408,1,安泰集团
600409,1,三友化工
600410,1,华胜天成
600415,1,小商品城
600416,1,湘电股份
600418,1,江淮汽车
600419,1,天润乳业
600420,1,国药现代
600421,1,退市华嵘
600422,1,昆药集团
600423,1,*ST柳化
600425,1,青松建化
600426,1,华鲁恒升
600428,1,中远海特
600429,1,三元股份
600433,1,冠豪高新
600435,1,北方导航
600436,1,片仔癀
600438,1,通威股份
600439,1,瑞贝卡
600444,1,国机通用
600446,1,金证股份
600448,1,华纺股份
600449,1,宁夏建材
600452,1,涪陵电力
600455,1,博通股份
600456,1,宝钛股份
600458,1,时代新材
600459,1,贵研铂业
600460,1,士兰微
600461,1,洪城环境
600462,1,退市九有
600463,1,空港股份
600467,1,好当家
600468,1,百利电气
600469,1,风神股份
600470,1,六国化工
600475,1,华光环能
600476,1,*ST湘邮
600477,1,杭萧钢构
600478,1,科力远
600479,1,千金药业
600480,1,凌云股份
600481,1,双良节能
600482,1,中国动力
600483,1,福能股份
600486,1,扬农化工
600487,1,亨通光电
600488,1,津药药业
600489,1,中金黄金
600490,1,鹏欣资源
600491,1,ST龙元
600493,1,凤竹纺织
600495,1,晋西车轴
600496,1,精工钢构
600497,1,驰宏锌锗
600498,1,烽火通信
600499,1,科达制造
600500,1,中化国际
600501,1,航天晨光
600502,1,安徽建工
600503,1,华丽家族
600505,1,西昌电力
600506,1,统一股份
600507,1,方大特钢
600508,1,上海能源
600509,1,天富能源
600510,1,黑牡丹
600511,1,国药股份
600512,1,腾达建设
600513,1,联环药业
600515,1,海南机场
600516,1,方大炭素
600517,1,国网英大
600518,1,康美药业
600519,1,贵州茅台
600520,1,三佳科技
600521,1,华海药业
600522,1,中天科技
600523,1,贵航股份
600525,1,ST长园
600526,1,菲达环保
600527,1,江南高纤
600528,1,中铁工业
600529,1,山东药玻
600530,1,交大昂立
600531,1,豫光金铅
600533,1,栖霞建设
600535,1,天士力
600536,1,中国软件
600537,1,*ST亿晶
600538,1,国发股份
600539,1,狮头股份
600540,1,新赛股份
600543,1,*ST莫高
600545,1,卓郎智能
600546,1,山煤国际
600547,1,山东黄金
600548,1,深高速
600549,1,厦门钨业
600550,1,保变电气
600551,1,时代出版
600552,1,凯盛科技
600556,1,天下秀
600557,1,康缘药业
600558,1,大西洋
600559,1,老白干酒
600560,1,金自天正
600561,1,江西长运
600562,1,国睿科技
600563,1,法拉电子
600565,1,ST迪马
600566,1,济川药业
600567,1,山鹰国际
600568,1,ST中珠
600569,1,安阳钢铁
600570,1,恒生电子
600571,1,信雅达
600572,1,康恩贝
600573,1,惠泉啤酒
600575,1,淮河能源
600576,1,祥源文旅
600577,1,精达股份
600578,1,京能电力
600579,1,中化装备
600580,1,卧龙电驱
600581,1,*ST八钢
600582,1,天地科技
600583,1,海油工程
600584,1,长电科技
600585,1,海螺水泥
600586,1,金晶科技
600587,1,新华医疗
600588,1,用友网络
600589,1,大位科技
600590,1,泰豪科技
600592,1,龙溪股份
600593,1,大连圣亚
600594,1,益佰制药
600595,1,中孚实业
600596,1,新安股份
600597,1,光明乳业
600598,1,北大荒
600599,1,退市熊猫
600600,1,青岛啤酒
600601,1,方正科技
600602,1,云赛智联
600603,1,广汇物流
600604,1,市北高新
600605,1,汇通能源
600606,1,绿地控股
600608,1,退市沪科
600609,1,金杯汽车
600610,1,中毅达
600611,1,大众交通
600612,1,老凤祥
600613,1,神奇制药
600615,1,鑫源智造
600616,1,金枫酒业
600617,1,国新能源
600618,1,氯碱化工
600619,1,海立股份
600620,1,天宸股份
600621,1,华鑫股份
600622,1,光大嘉宝
600623,1,华谊集团
600624,1,ST复华
600626,1,申达股份
600628,1,新世界
600629,1,华建集团
600630,1,龙头股份
600633,1,浙数文化
600635,1,大众公用
600636,1,退市国化
600637,1,东方明珠
600638,1,新黄浦
600639,1,浦东金桥
600640,1,国脉文化
600641,1,先导基电
600642,1,申能股份
600643,1,爱建集团
600644,1,乐山电力
600645,1,中源协和
600647,1,退市同达
600648,1,外高桥
600649,1,城投控股
600650,1,锦江在线
600651,1,飞乐音响
600653,1,申华控股
600654,1,中安科
600655,1,豫园股份
600657,1,信达地产
600658,1,电子城
600660,1,福耀玻璃
600661,1,昂立教育
600662,1,外服控股
600663,1,陆家嘴
600664,1,哈药股份
600665,1,天地源
600666,1,奥瑞德
600667,1,太极实业
600668,1,尖峰集团
600671,1,天目药业
600673,1,东阳光
600674,1,川投能源
600675,1,中华企业
600676,1,交运股份
600678,1,ST金顶
600679,1,上海凤凰
600681,1,百川能源
600682,1,南京新百
600683,1,京投发展
600684,1,珠江股份
600685,1,中船防务
600686,1,金龙汽车
600688,1,上海石化
600689,1,上海三毛
600690,1,海尔智家
600691,1,潞化科技
600692,1,亚通股份
600693,1,东百集团
600694,1,大商股份
600696,1,退市岩石
600697,1,欧亚集团
600698,1,湖南天雁
600699,1,均胜电子
600702,1,舍得酒业
600703,1,三安光电
600704,1,物产中大
600705,1,中航产融
600706,1,曲江文旅
600707,1,彩虹股份
600708,1,光明地产
600710,1,苏美达
600711,1,盛屯矿业
600712,1,南宁百货
600713,1,南京医药
600714,1,金瑞矿业
600715,1,文投控股
600716,1,凤凰股份
600717,1,天津港
600718,1,东软集团
600719,1,大连热电
600720,1,中交设计
600721,1,百花医药
600722,1,金牛化工
600724,1,宁波富达
600725,1,云维股份
600726,1,华电能源
600727,1,鲁北化工
600728,1,佳都科技
600729,1,重百集团
600730,1,*ST高科
600731,1,湖南海利
600732,1,爱旭股份
600733,1,北汽蓝谷
600734,1,*ST实达
600735,1,ST新华锦
600736,1,苏州高新
600737,1,中粮糖业
600738,1,丽尚国潮
600739,1,辽宁成大
600740,1,山西焦化
600741,1,华域汽车
600742,1,富维股份
600743,1,华远控股
600744,1,华银电力
600745,1,*ST闻泰
600746,1,江苏索普
600748,1,上实发展
600749,1,西藏旅游
600750,1,华润江中
600751,1,海航科技
600753,1,*ST海钦
600754,1,锦江酒店
600755,1,厦门国贸
600756,1,浪潮软件
600757,1,长江传媒
600758,1,辽宁能源
600759,1,ST洲际
600760,1,中航沈飞
600761,1,安徽合力
600763,1,通策医疗
600764,1,中国海防
600765,1,中航重机
600766,1,退市园城
600768,1,宁波富邦
600769,1,祥龙电业
600770,1,综艺股份
600771,1,广誉远
600773,1,西藏城投
600774,1,汉商集团
600775,1,南京熊猫
600776,1,东方通信
600777,1,*ST新潮
600778,1,友好集团
600779,1,水井坊
600780,1,通宝能源
600782,1,新钢股份
600783,1,鲁信创投
600784,1,鲁银投资
600785,1,新华百货
600787,1,中储股份
600789,1,鲁抗医药
600790,1,轻纺城
600791,1,京能置业
600792,1,云煤能源
600793,1,宜宾纸业
600794,1,保税科技
600795,1,国电电力
600796,1,钱江生化
600797,1,浙大网新
600798,1,宁波海运
600800,1,渤海化学
600801,1,华新建材
600802,1,福建水泥
600803,1,新奥股份
600804,1,退市鹏博
600805,1,悦达投资
600807,1,济高发展
600808,1,马钢股份
600809,1,山西汾酒
600810,1,神马股份
600811,1,*ST东方
600812,1,华北制药
600814,1,杭州解百
600815,1,厦工股份
600816,1,建元信托
600817,1,宇通重工
600818,1,ST中路
600819,1,耀皮玻璃
600820,1,隧道股份
600821,1,金开新能
600822,1,上海物贸
600823,0,*ST世茂
600824,1,益民集团
600825,1,新华传媒
600826,1,兰生股份
600827,1,百联股份
600828,1,茂业商业
600829,1,人民同泰
600830,1,香溢融通
600831,1,广电网络
600833,1,第一医药
600834,1,申通地铁
600835,1,上海机电
600836,1,*ST易连
600837,1,海通证券
600838,1,上海九百
600839,1,四川长虹
600841,1,动力新科
600843,1,上工申贝
600844,1,金煤科技
600845,1,宝信软件
600846,1,同济科技
600847,1,万里股份
600848,1,上海临港
600850,1,电科数字
600851,1,海欣股份
600853,1,龙建股份
600854,1,春兰股份
600855,1,航天长峰
600857,1,宁波中百
600858,1,银座股份
600859,1,王府井
600860,1,京城股份
600861,1,北京人力
600862,1,中航高科
600863,1,华能蒙电
600864,1,哈投股份
600865,1,百大集团
600866,1,星湖科技
600867,1,通化东宝
600868,1,梅雁吉祥
600869,1,远东股份
600871,1,石化油服
600872,1,中炬高新
600873,1,梅花生物
600874,1,创业环保
600875,1,东方电气
600876,1,凯盛新能
600877,1,电科芯片
600879,1,航天电子
600880,1,博瑞传播
600881,1,亚泰集团
600882,1,妙可蓝多
600883,1,博闻科技
600884,1,杉杉股份
600885,1,宏发股份
600886,1,国投电力
600887,1,伊利股份
600888,1,新疆众和
600889,1,*ST京化
600892,1,*ST大晟
600893,1,航发动力
600894,1,广日股份
600895,1,张江高科
600897,1,厦门空港
600898,1,*ST美讯
600900,1,长江电力
600901,1,江苏金租
600903,1,贵州燃气
600905,1,三峡能源
600906,1,财达证券
600908,1,无锡银行
600909,1,华安证券
600916,1,中国黄金
600917,1,重庆燃气
600918,1,中泰证券
600919,1,江苏银行
600925,1,苏能股份
600926,1,杭州银行
600927,1,永安期货
600928,1,西安银行
600929,1,雪天盐业
600933,1,爱柯迪
600935,1,华塑股份
600936,1,北投科技
600938,1,中国海油
600939,1,重庆建工
600941,1,中国移动
600955,1,维远股份
600956,1,新天绿能
600958,1,东方证券
600959,1,江苏有线
600960,1,渤海汽车
600961,1,株冶集团
600962,1,国投中鲁
600963,1,岳阳林纸
600965,1,*ST福成
600966,1,博汇纸业
600967,1,内蒙一机
600968,1,海油发展
600969,1,郴电国际
600970,1,中材国际
600971,1,恒源煤电
600973,1,宝胜股份
600975,1,新五丰
600976,1,健民集团
600977,1,中国电影
600979,1,广安爱众
600980,1,北矿科技
600981,1,苏豪汇鸿
600982,1,宁波能源
600983,1,惠而浦
600984,1,建设机械
600985,1,淮北矿业
600986,1,浙文互联
600987,1,航民股份
600988,1,赤峰黄金
600989,1,宝丰能源
600990,1,四创电子
600992,1,贵绳股份
600993,1,马应龙
600995,1,南网储能
600996,1,贵广网络
600997,1,开滦股份
600998,1,九州通
600999,1,招商证券
601000,1,唐山港
601001,1,晋控煤业
601002,1,晋亿实业
601003,1,柳钢股份
601005,1,重庆钢铁
601006,1,大秦铁路
601007,1,金陵饭店
601008,1,连云港
601009,1,南京银行
601010,1,ST文峰
601011,1,宝泰隆
601012,1,隆基绿能
601015,1,陕西黑猫
601016,1,节能风电
601018,1,宁波港
601019,1,山东出版
601020,1,华钰矿业
601021,1,春秋航空
601022,1,宁波远洋
601028,1,玉龙股份
601033,1,永兴股份
601038,1,一拖股份
601058,1,赛轮轮胎
601059,1,信达证券
601061,1,中信金属
601065,1,江盐集团
601066,1,中信建投
601068,1,中铝国际
601069,1,西部黄金
601077,1,渝农商行
601083,1,锦江航运
601086,1,国芳集团
601088,1,中国神华
601089,1,福元医药
601096,1,宏盛华源
601098,1,中南传媒
601099,1,太平洋
601100,1,恒立液压
601101,1,昊华能源
601106,1,中国一重
601107,1,四川成渝
601108,1,财通证券
601111,1,中国国航
601113,1,华鼎股份
601116,1,三江购物
601117,1,中国化学
601118,1,海南橡胶
601121,1,宝地矿业
601126,1,四方股份
601127,1,赛力斯
601128,1,常熟银行
601133,1,柏诚股份
601136,1,首创证券
601137,1,博威合金
601138,1,工业富联
601139,1,深圳燃气
601155,1,新城控股
601156,1,东航物流
601158,1,重庆水务
601162,1,天风证券
601163,1,三角轮胎
601166,1,兴业银行
601168,1,西部矿业
601169,1,北京银行
601177,1,杭齿前进
601179,1,中国西电
601186,1,中国铁建
601187,1,厦门银行
601188,1,龙江交通
601198,1,东兴证券
601199,1,江南水务
601200,1,上海环境
601208,1,东材科技
601211,1,国泰海通
601212,1,白银有色
601216,1,君正集团
601218,1,吉鑫科技
601222,1,林洋能源
601225,1,陕西煤业
601226,1,华电科工
601228,1,广州港
601229,1,上海银行
601231,1,环旭电子
601233,1,桐昆股份
601236,1,红塔证券
601238,1,广汽集团
601279,1,英利汽车
601288,1,农业银行
601298,1,青岛港
601311,1,骆驼股份
601318,1,中国平安
601319,1,中国人保
601326,1,秦港股份
601328,1,交通银行
601330,1,绿色动力
601333,1,广深铁路
601336,1,新华保险
601339,1,百隆东方
601360,1,三六零
601366,1,利群股份
